["序号","地点","描述"，“url”]
[[1],["港口码头"],["战火蹂躏后的码头，碎木板和断裂的缆绳散落一地，远处海面上漂着起火的船只残骸，空气中弥漫着硝烟和海盐的气味/脚下的木板被炮火炸得支离破碎，几根断裂的缆绳在海风中摇晃。远处，一艘正在燃烧的船只缓缓沉入海面，橘红的火光映在浪花上。空气里混杂着火药、海盐和焦木的气味。"],[]]
[[2],["弹药仓库"],["半塌的石砌仓库，大门被撞歪，里面堆着各种补给箱和弹药筒，角落里有微弱的灵能光芒在闪烁/仓库的铁门被撞成了歪七扭八的形状，里面堆满了圣卫军的补给箱，有些箱子的盖子已经被撬开，里面的物资散落一地。角落里，一颗巴掌大的圣晶正发出微弱的蓝光——是通界司用来制作手雷的「圣晶弹」。 "],[]]
[[3],["商船残骸"],["一艘被海盗击沉搁浅的通界司商船，船体倾斜，甲板上散落着货物和破损的圣讯设备，隐约传来被困者的呼救声/一艘通界司的中型商船搁浅在礁石上，船体向左侧倾斜了近三十度。甲板上散落着打翻的货箱和撕裂的帆布，桅杆断成两截横在船舷。在船舱深处，你隐约听到有人在喊\"救命\"——声音虚弱但焦急。"],[]]
[[4],["海盗临时营地"],["海盗在废弃货棚中搭建的临时驻点，篝火尚温，地上丢着酒瓶和骨头，几名海盗正在分赃/废弃的货棚被海盗改造成了简陋的营地。篝火还冒着青烟，地上丢着空酒瓶、鱼骨和染血的绷带。三名海盗正围着一堆从商船上抢来的战利品争吵不休，完全没注意到你们的靠近。营地南边，灰色的灯塔高耸入云，正面有一道石砌楼梯通往顶层。在楼梯旁边的墙角，有一个不起眼的铁栅排水口。"],[]]
[[5],["灯塔地下通道"],["灯塔下方的维护通道，狭窄潮湿，壁上生满藤壶，圣能管线从头顶蜿蜒而过，发出微弱的嗡鸣声/排水口后面是一条狭窄的维护通道，仅容一人侧身通过。墙壁上爬满了藤壶和海苔，脚下的石板湿滑不堪，每一步都会发出\"吧嗒\"的水声。头顶粗大的圣能管线发出低沉的嗡鸣，管线接口处偶尔闪过淡蓝色的光，勉强照亮了前方的路。通道尽头有一架锈迹斑斑的铁梯，直通灯塔上方。"],[]]
[[6],["灯塔顶层"],["灯塔最高层的瞭望平台，环形空间被海盗头目改造成指挥所，四周摆着望远镜和航海图，中央的灯塔灵晶仍在旋转发光/灯塔顶层是一个圆形的开阔平台，海风从四面涌入。巨大的灵晶灯缓缓旋转，每一圈扫过都会洒下一片碧蓝的光。平台中央，一个身材魁梧的海盗头目正背对着楼梯，左手是一只锃亮的铁钩，右手握着一把厚重的登船斧，他正对着一张航海图低声自语。平台边缘摆着几桶油（用于灯塔维护），旁边还有两名荷刀持盾的护卫。"],[]]
[[7],["矿洞入口"],["树木掩映下的矿洞口，用粗木搭建的门框已经歪斜，洞口挂着破旧的警示灯笼，微风从洞内涌出，带着潮湿和矿石的气味/森林边缘的矿洞口用粗木和石块加固过，但年久失修的门框已经歪斜。洞口挂着的警示灯笼早已熄灭，一阵阵潮湿冰冷的风从洞内涌出。"],[]]
[[8],["第一采掘层"],["矿洞主巷道，两侧开凿出多条支巷，散落着遗弃的矿车和灵能锄，岩壁上嵌着暗淡的灵能照明晶/主巷道宽约三米，两侧开凿出密密麻麻的支巷。矿车歪在轨道上，灵能锄七零八落地丢在地面。岩壁上嵌着的灵能照明晶大部分已经黯淡，只有少数几颗还发出昏黄的微光。你注意到有几把灵能锄的刃口呈现和你带来的那把一样的异常纹路。"],[]]
[[9],["坍塌隧道（分叉点）"],["主巷道在此处被一次塌方截断，碎石堆两侧各有一条可通行的路径——左边是一条狭窄裂缝，右边是一个较宽的自然溶洞入口/主巷道在此处被一次严重的塌方截断，巨石和碎土堆成了一面高墙。塌方区两侧各留出了一条可通行的路径：左边是岩壁上被压力撑开的一条狭窄裂缝，仅能侧身通过；右边是一个自然形成的溶洞入口，宽敞但黑暗中似乎有什么在蠕动。"],[]]
[[10],["狭窄通道 (左路)"],["裂缝仅有半米宽，需要侧着身子挤过去。岩壁冰凉粗糙，有些尖锐的突起会刮蹭衣物。通道中途有一段稍宽的空间，岩壁上嵌着一块完整的灵能水晶，发着清澈的蓝色光芒。"],[]]
[[11],["虫穴岔道 (右路)"],["溶洞入口的地面上覆盖着一层发亮的粘液。洞壁上密布着细小的孔洞，暗紫色的微光从孔洞中渗出。两只半透明的蝎形生物从暗处爬出，尾针闪着不祥的紫光。"],[]]
[[12],["水晶溶洞"],["壮观的天然溶洞，穹顶高达数十米，密布着各色灵能水晶簇，部分水晶呈现异常的暗紫色，地面积水映射出梦幻的光影/你走进了一个令人屏息的巨大溶洞。穹顶高不可见，四壁密布着大大小小的灵能水晶簇，蓝色、绿色、金色的光芒交织出梦幻般的景象。然而其中有相当一部分水晶已经变成了不祥的暗紫色，扭曲的光芒如同染病的脉搏般一明一暗。地面积水如镜，倒映着这片亦真亦幻的水晶穹天。"],[]]
[[13],["深层裂隙厅·BOSS"],["矿洞最深处的巨大空腔，中央悬浮着一条发着暗紫光芒的裂隙，裂隙周围的空气扭曲变形，碎石在半空中缓缓旋转/矿洞最深处豁然开朗，一个直径近二十米的天然空腔中，一条两米长的暗紫色裂隙悬浮在半空中，像一道割裂现实的伤口。裂隙周围的空气严重扭曲，碎石和灰尘在反重力场中缓缓盘旋。从裂隙中不断渗出混沌能量的雾气，地面上的岩石被侵蚀成诡异的纹路。突然，裂隙剧烈颤动，一条体表覆满暗紫水晶的巨型蠕虫从裂隙中挤出大半个身躯！"],[]]
[[14],["别院正门·废墟"],["曾经气派的庄园大门如今长满青苔，铁门锈迹斑斑，门柱上的家徽已被人为凿去，门口竖着\"禁止入内"\的警告牌/别院大门在森林深处的小路尽头突然出现。铁门上缠满了枯死的藤蔓，门柱上曾经镶嵌的贵族家徽被人粗暴地凿掉，留下丑陋的疤痕。\"禁止入内\"的告示牌倒在地上，纸面被雨水泡得模糊不清。整座别院笼罩在参天古木的阴影中，即便是白天也显得阴沉。"],[]]
[[15],["荒芜庭院"],["荒废的花园已被杂草吞没，中央的喷泉池干涸龟裂，角落有一口被石板遮盖的枯井，草丛中依稀可辨马车辙印/曾经精心修剪的花园已沦为荒野。齐膝的杂草中依稀可辨石砌小径的轮廓。喷泉池中央的天使雕像缺了一只手臂，池底的马赛克被落叶覆盖。角落的枯井上盖着一块石板，旁边有明显被移动过的痕迹。草丛深处，一条不起眼的小径通向别院后方的树林。"],[]]
[[16],["破旧主厅"],["阔大的主厅满是灰尘和蛛网，家具蒙着发霉的白布，壁炉坍塌了半面，墙角有一扇被书架遮住的暗门/主厅面积开阔，穹顶的水晶灯早已碎裂，碎片散了一地。沉重的橡木家具蒙着发霉的白布，拉开后是虫蛀的桌椅。壁炉坍塌了半面，烟囱被堵死。在壁炉对面的墙角，一个书架看起来位置有些古怪——不像是靠墙放置的，更像是被特意推到了那里。"],[]]
[[17],["仆人通道"],["别院侧面狭长的仆人专用通道，通向地下厨房和储藏间，通道墙壁上有新近刮蹭的痕迹/侧面狭长的通道原是仆人专用，墙壁刷着褪色的白漆。地面的石板上有明显的新刮蹭痕迹——有东西被频繁搬运经过。通道尽头是向下的楼梯，通向厨房和地下储藏间。"],[]]
[[18],["地下室入口"],["石阶向下延伸至地下，空气变得潮湿阴冷，墙壁上出现了不属于原建筑的灵能管线/石阶向下延伸了十多级，空气骤然变冷变潮。墙壁上出现了与原建筑风格截然不同的灵能管线——粗糙地用铁钉固定在石壁上，管线发出微弱的嗡鸣。楼梯底部有一道厚重的铁门，门缝中透出冷白色的灯光。"],[]]
[[19],["秘密拆解工坊"],["地下改造的大型工坊，摆满了被拆解的精密仪器，工作台上散落着零件和工具，几盏灵能灯照出冷白的光/地下室被改造成了一个专业的拆解工坊。十几张工作台上摆满了被拆得七零八落的精密仪器，零件分门别类放在标签盒中。墙壁上贴着操作流程图，地上堆着运输用的木箱。三盏高功率灵能灯把空间照得通亮，完全不像一个废弃别院该有的样子。工坊角落有两名身穿粗布衣的看守，腰间别着短刀。"],[]]
[[20],["污染水源池"],["地下水池，水面泛着不健康的暗绿色，池底沉积着大量闪烁的灵能残渣，空气中弥漫着刺鼻的化学气味/地下蓄水池的水面泛着不健康的暗绿色光泽，池底密密麻麻地沉积着闪烁的灵能残渣——这就是仪器拆解过程中排放的废料。刺鼻的气味让人眼睛发酸。水池的出水管道标签显示连接着\"安索城东区供水管线\"。"],[]]
[[21],["暗道出口"],["工坊后方有一条倾斜向上的暗道，砖石新砌不久。出口被灌木丛遮掩，推开后发现通向森林边缘的一条小路，远方可以看到码头的方向。地面上有深深的车辙印，一路延伸向码头。"],[]]
[[22],["码头栈桥"],["夜色中的码头栈桥，只有寥寥数盏灵能灯笼在雾气中摇晃，三艘嫌疑船只分别停泊在左、中、右三个泊位/深夜的码头笼罩在浓重的海雾中。栈桥上稀疏的灵能灯笼发出昏黄的光，在雾气中晕开成模糊的光圈。三艘嫌疑船只静静地停泊在泊位中——左边是中型货船\"碧波号\"，中间是大型商船\"晨星号\"，右边是中型快船\"月鲸号\"。远处隐约传来海浪拍打船壳的声音，偶尔夹杂着水手的低语和脚步声。"],[]]
[[23],["碧波号甲板"],["中型货船的甲板，整洁但角落有被帆布遮盖的异常物品，甲板上有1名巡逻水手/碧波号是一艘不大不小的货船，甲板被收拾得很干净。船头摆着几个规整的货箱，但在船尾角落，有一块帆布盖着什么东西，形状棱角分明，不像是普通货物。一名水手正靠在桅杆上打瞌睡，手里还攥着半瓶酒。"],[]]
[[24],["碧波号货舱"],["船舱内堆满了普通货物，但最里面有几个特殊标记的箱子/船舱内光线昏暗，堆着各种日用货物。在最里面的角落，有几个印着特殊标记的空箱子，箱子里面残留着包装用的稻草和灵能隔绝布。"],[]]
[[25],["晨星号甲板"],["大型商船的宽阔甲板，表面正常但吃水线明显偏深，有2名巡逻水手/晨星号比其他两艘船大了一圈，宽阔的甲板上整齐地排列着标准货箱。但你注意到船身吃水很深——远超一般商船的水平。甲板上有两名水手在巡逻，他们的步伐比普通水手更加警觉，手中还握着短棍。"],[]]
[[26],["晨星号船舱"],["表面正常的货舱，但仔细检查可发现地板有异常/表面看是一个普通的货舱，堆着谷物、布匹和酒桶。但你的脚踩在某块地板上时，发出了一声空洞的回响——地板下面是空的。仔细观察，这块区域的地板颜色略有不同，钉子也更新。"],[]]
